Year,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
2012,BALBOA HIGH SCHOOL,San Francisco,San Francisco,Enr,8,,,,,,,,
2012,BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,App,28,,,6,,19,,,
2012,BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,Adm,4,,,,,3,,,
2012,BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,Enr,3,,,,,,,,
2012,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,App,15,,,6,,,,,
2012,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,Adm,,,,,,,,,
2012,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,Enr,,,,,,,,,
2012,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,App,34,,,31,,,,,
2012,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,Adm,6,,,,,,,,
2012,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,Enr,,,,,,,,,
2012,BELL HIGH SCHOOL,Bell,Los Angeles,App,52,,,49,,,,,
2012,BELL HIGH SCHOOL,Bell,Los Angeles,Adm,4,,,,,,,,
2012,BELL HIGH SCHOOL,Bell,Los Angeles,Enr,,,,,,,,,
2012,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,App,40,,,,,,30,,
2012,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,Adm,5,,,,,,4,,
2012,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,Enr,,,,,,,,,
2012,BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,App,23,,,17,,6,,,
2012,BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,Adm,10,,,9,,,,,
2012,BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,Enr,5,,,,,,,,
2012,BENICIA HIGH SCHOOL,Benicia,Solano,App,47,5,,5,,17,18,,
2012,BENICIA HIGH SCHOOL,Benicia,Solano,Adm,5,,,,,,,,
2012,BENICIA HIGH SCHOOL,Benicia,Solano,Enr,,,,,,,,,
2012,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,App,32,,,25,,7,,,
